,PV(W),SOC(%),Battery(W),Meter(W),Load(W),MPP1(A),MPP2(A),MPP1(V),MPP2(V),IT1(°C),MPP3(A),MPP4(A),MPP3(V),MPP4(V),IT2(°C)
2024-03-21 13:00:00,173528.0,0.0,0.0,0.0,173528.0,2.0558333333333336,3.910833333333333,761.6333333333333,722.9666666666667,24.825,0.0,0.0,0.0,0.0,0.0
2024-03-21 14:00:00,225430.0,0.0,0.0,0.0,225430.0,2.5066666666666664,4.785833333333334,770.525,734.5833333333334,23.65833333333333,0.0,0.0,0.0,0.0,0.0
2024-03-21 15:00:00,489838.0,0.0,0.0,0.0,489838.0,4.91,9.544166666666667,713.7833333333333,690.875,29.233333333333334,0.0,0.0,0.0,0.0,0.0
2024-03-21 16:00:00,200318.0,0.0,0.0,0.0,200318.0,2.1725,3.3208333333333333,680.85,717.6999999999999,25.96666666666667,0.0,0.0,0.0,0.0,0.0
2024-03-21 17:00:00,31416.0,0.0,0.0,0.0,31416.0,0.6583333333333333,1.08,715.4166666666666,689.7833333333333,22.266666666666666,0.0,0.0,0.0,0.0,0.0
2024-03-21 18:00:00,15593.0,0.0,0.0,0.0,15593.0,0.53,0.7883333333333334,735.1999999999999,680.8166666666667,20.016666666666666,0.0,0.0,0.0,0.0,0.0
2024-03-21 19:00:00,1722.0,0.0,0.0,0.0,1722.0,0.4008333333333333,0.3908333333333333,555.125,520.0166666666667,17.533333333333335,0.0,0.0,0.0,0.0,0.0
2024-03-21 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22 06:00:00,50.0,0.0,0.0,0.0,50.0,0.07083333333333333,0.07166666666666667,89.89166666666667,70.58333333333333,0.7833333333333333,0.0,0.0,0.0,0.0,0.0
2024-03-22 07:00:00,15366.0,0.0,0.0,0.0,15366.0,0.54,0.8558333333333333,763.5,469.7083333333333,10.741666666666667,0.0,0.0,0.0,0.0,0.0
2024-03-22 08:00:00,115207.0,0.0,0.0,0.0,115207.0,1.6283333333333332,4.328333333333333,788.0916666666667,701.375,14.333333333333334,0.0,0.0,0.0,0.0,0.0
2024-03-22 09:00:00,203284.0,0.0,0.0,0.0,203284.0,3.035,5.925,761.8416666666667,731.3333333333334,19.158333333333335,0.0,0.0,0.0,0.0,0.0
2024-03-22 10:00:00,468907.0,0.0,0.0,0.0,468907.0,6.918333333333333,13.8175,751.5583333333334,717.4333333333334,22.599999999999998,0.0,0.0,0.0,0.0,0.0
2024-03-22 11:00:00,448519.0,0.0,0.0,0.0,448519.0,6.0425,11.87,743.8166666666666,710.2916666666666,27.125,0.0,0.0,0.0,0.0,0.0
2024-03-22 12:00:00,632311.0,0.0,0.0,0.0,632311.0,8.928333333333333,17.544166666666666,709.4666666666667,685.5166666666668,31.53333333333333,0.0,0.0,0.0,0.0,0.0
2024-03-22 13:00:00,495589.0,0.0,0.0,0.0,495589.0,5.760000000000001,11.405000000000001,741.725,704.6916666666666,32.208333333333336,0.0,0.0,0.0,0.0,0.0
2024-03-22 14:00:00,614544.0,0.0,0.0,0.0,614544.0,6.6375,13.292499999999999,743.1666666666666,701.525,32.75,0.0,0.0,0.0,0.0,0.0
2024-03-22 15:00:00,554468.0,0.0,0.0,0.0,554468.0,5.503333333333334,9.973333333333333,705.6416666666668,688.9833333333332,34.71666666666667,0.0,0.0,0.0,0.0,0.0
2024-03-22 16:00:00,402215.0,0.0,0.0,0.0,402215.0,3.4591666666666665,6.552499999999999,666.1666666666666,628.3000000000001,35.833333333333336,0.0,0.0,0.0,0.0,0.0
2024-03-22 17:00:00,190701.0,0.0,0.0,0.0,190701.0,1.7616666666666667,3.2583333333333333,632.8833333333333,606.1166666666667,32.55833333333333,0.0,0.0,0.0,0.0,0.0
2024-03-22 18:00:00,107251.0,0.0,0.0,0.0,107251.0,0.9291666666666667,1.6308333333333334,657.1916666666667,638.625,33.06666666666667,0.0,0.0,0.0,0.0,0.0
2024-03-22 19:00:00,4670.0,0.0,0.0,0.0,4670.0,0.4566666666666667,0.5008333333333334,633.3416666666667,533.8333333333334,27.633333333333336,0.0,0.0,0.0,0.0,0.0
2024-03-22 20:00:00,46.0,0.0,0.0,0.0,46.0,0.03666666666666667,0.034166666666666665,22.099999999999998,17.625,2.0749999999999997,0.0,0.0,0.0,0.0,0.0
2024-03-22 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23 06:00:00,0.0,0.0,0.0,0.0,0.0,0.07083333333333333,0.07166666666666667,74.29166666666667,74.22500000000001,1.6583333333333332,0.0,0.0,0.0,0.0,0.0
2024-03-23 07:00:00,15009.0,0.0,0.0,0.0,15009.0,0.5333333333333333,0.8308333333333334,737.25,538.7333333333333,13.450000000000001,0.0,0.0,0.0,0.0,0.0
2024-03-23 08:00:00,110063.0,0.0,0.0,0.0,110063.0,1.6358333333333333,4.79,778.025,696.6666666666666,17.916666666666668,0.0,0.0,0.0,0.0,0.0
2024-03-23 09:00:00,134030.0,0.0,0.0,0.0,134030.0,2.1441666666666666,4.170833333333333,725.6916666666666,696.9166666666666,22.46666666666667,0.0,0.0,0.0,0.0,0.0
2024-03-23 10:00:00,46476.0,0.0,0.0,0.0,46476.0,0.7716666666666666,1.3608333333333331,731.8333333333334,711.4083333333333,16.858333333333334,0.0,0.0,0.0,0.0,0.0
2024-03-23 11:00:00,88635.0,0.0,0.0,0.0,88635.0,1.18,2.1933333333333334,758.5333333333333,729.3916666666668,16.058333333333334,0.0,0.0,0.0,0.0,0.0
2024-03-23 12:00:00,161894.0,0.0,0.0,0.0,161894.0,1.8933333333333333,3.644166666666667,774.7083333333334,740.6833333333334,17.525,0.0,0.0,0.0,0.0,0.0
2024-03-23 13:00:00,244272.0,0.0,0.0,0.0,244272.0,2.688333333333333,5.236666666666667,787.5500000000001,749.7583333333333,18.416666666666668,0.0,0.0,0.0,0.0,0.0
2024-03-23 14:00:00,323393.0,0.0,0.0,0.0,323393.0,3.5141666666666667,6.855833333333333,784.8583333333332,749.3333333333334,20.75,0.0,0.0,0.0,0.0,0.0
2024-03-23 15:00:00,161399.0,0.0,0.0,0.0,161399.0,1.9383333333333335,3.734166666666667,767.3249999999999,734.7916666666666,20.508333333333333,0.0,0.0,0.0,0.0,0.0
2024-03-23 16:00:00,84953.0,0.0,0.0,0.0,84953.0,1.2316666666666667,2.111666666666667,701.7083333333334,730.9916666666667,14.758333333333333,0.0,0.0,0.0,0.0,0.0
2024-03-23 17:00:00,93165.0,0.0,0.0,0.0,93165.0,1.1708333333333334,1.9591666666666665,704.775,736.2416666666667,14.958333333333334,0.0,0.0,0.0,0.0,0.0
2024-03-23 18:00:00,110084.0,0.0,0.0,0.0,110084.0,1.1875,1.9883333333333333,699.0583333333334,742.8249999999999,18.258333333333333,0.0,0.0,0.0,0.0,0.0
2024-03-23 19:00:00,5018.0,0.0,0.0,0.0,5018.0,0.4666666666666666,0.5316666666666666,641.2083333333334,584.0749999999999,13.616666666666667,0.0,0.0,0.0,0.0,0.0
2024-03-23 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24 06:00:00,33.0,0.0,0.0,0.0,33.0,0.07166666666666667,0.07083333333333333,66.375,85.8,0.5,0.0,0.0,0.0,0.0,0.0
2024-03-24 07:00:00,23446.0,0.0,0.0,0.0,23446.0,0.6725,1.1141666666666667,770.3916666666668,488.94166666666666,8.141666666666667,0.0,0.0,0.0,0.0,0.0
2024-03-24 08:00:00,113135.0,0.0,0.0,0.0,113135.0,1.2808333333333335,4.171666666666667,758.4833333333332,717.5666666666666,13.333333333333334,0.0,0.0,0.0,0.0,0.0
2024-03-24 09:00:00,134415.0,0.0,0.0,0.0,134415.0,1.7750000000000001,3.345,738.7166666666667,740.8583333333332,14.566666666666668,0.0,0.0,0.0,0.0,0.0
2024-03-24 10:00:00,227423.0,0.0,0.0,0.0,227423.0,2.9125,5.646666666666667,774.15,739.0166666666668,15.299999999999999,0.0,0.0,0.0,0.0,0.0
2024-03-24 11:00:00,430566.0,0.0,0.0,0.0,430566.0,5.618333333333333,10.9625,758.6999999999999,726.8333333333334,18.724999999999998,0.0,0.0,0.0,0.0,0.0
2024-03-24 12:00:00,499336.0,0.0,0.0,0.0,499336.0,6.36,12.35,754.6083333333332,724.6416666666668,21.033333333333335,0.0,0.0,0.0,0.0,0.0
2024-03-24 13:00:00,306649.0,0.0,0.0,0.0,306649.0,3.5841666666666665,7.029166666666666,765.7583333333333,730.9333333333334,20.7,0.0,0.0,0.0,0.0,0.0
2024-03-24 14:00:00,318866.0,0.0,0.0,0.0,318866.0,3.3975000000000004,6.723333333333333,790.7166666666667,752.5416666666666,19.05,0.0,0.0,0.0,0.0,0.0
2024-03-24 15:00:00,353010.0,0.0,0.0,0.0,353010.0,3.848333333333333,7.077500000000001,734.1833333333334,713.7083333333334,19.650000000000002,0.0,0.0,0.0,0.0,0.0
2024-03-24 16:00:00,211486.0,0.0,0.0,0.0,211486.0,2.379166666666667,4.1866666666666665,720.4583333333334,733.4583333333334,19.325,0.0,0.0,0.0,0.0,0.0
2024-03-24 17:00:00,31059.0,0.0,0.0,0.0,31059.0,0.6558333333333334,1.04,704.2166666666667,707.525,13.6,0.0,0.0,0.0,0.0,0.0
2024-03-24 18:00:00,44324.0,0.0,0.0,0.0,44324.0,0.705,1.1458333333333333,755.3583333333332,720.8083333333334,11.391666666666666,0.0,0.0,0.0,0.0,0.0
2024-03-24 19:00:00,5092.0,0.0,0.0,0.0,5092.0,0.43416666666666665,0.48333333333333334,699.5666666666666,623.4250000000001,11.558333333333332,0.0,0.0,0.0,0.0,0.0
2024-03-24 20:00:00,46.0,0.0,0.0,0.0,46.0,0.03666666666666667,0.03666666666666667,10.549999999999999,34.858333333333334,0.875,0.0,0.0,0.0,0.0,0.0
2024-03-24 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25 06:00:00,231.0,0.0,0.0,0.0,231.0,0.10833333333333334,0.1175,170.40833333333333,89.90833333333335,0.9083333333333333,0.0,0.0,0.0,0.0,0.0
2024-03-25 07:00:00,19770.0,0.0,0.0,0.0,19770.0,0.5883333333333333,1.0191666666666668,768.3333333333334,436.125,9.275,0.0,0.0,0.0,0.0,0.0
2024-03-25 08:00:00,108755.0,0.0,0.0,0.0,108755.0,1.5591666666666668,3.7816666666666667,791.75,732.1583333333333,13.066666666666668,0.0,0.0,0.0,0.0,0.0
2024-03-25 09:00:00,327169.0,0.0,0.0,0.0,327169.0,5.480833333333333,11.290833333333333,765.125,728.5416666666666,14.866666666666667,0.0,0.0,0.0,0.0,0.0
2024-03-25 10:00:00,369367.0,0.0,0.0,0.0,369367.0,5.079166666666667,10.719166666666666,762.9250000000001,713.1666666666666,18.625,0.0,0.0,0.0,0.0,0.0
2024-03-25 11:00:00,592922.0,0.0,0.0,0.0,592922.0,8.147499999999999,16.396666666666665,744.65,704.375,23.258333333333336,0.0,0.0,0.0,0.0,0.0
2024-03-25 12:00:00,433274.0,0.0,0.0,0.0,433274.0,5.802499999999999,11.205,738.4833333333332,710.2833333333333,26.441666666666666,0.0,0.0,0.0,0.0,0.0
2024-03-25 13:00:00,456878.0,0.0,0.0,0.0,456878.0,5.205,10.2875,756.0583333333334,718.6166666666667,24.666666666666668,0.0,0.0,0.0,0.0,0.0
2024-03-25 14:00:00,819264.0,0.0,0.0,0.0,819264.0,9.18,18.3025,715.0333333333333,683.2416666666667,30.53333333333333,0.0,0.0,0.0,0.0,0.0
2024-03-25 15:00:00,528591.0,0.0,0.0,0.0,528591.0,5.4075,10.696666666666667,698.3166666666666,654.6083333333333,32.416666666666664,0.0,0.0,0.0,0.0,0.0
2024-03-25 16:00:00,477081.0,0.0,0.0,0.0,477081.0,3.9908333333333332,8.496666666666666,647.225,584.225,34.208333333333336,0.0,0.0,0.0,0.0,0.0
2024-03-25 17:00:00,283596.0,0.0,0.0,0.0,283596.0,1.7,3.279166666666667,540.9666666666667,529.5083333333333,36.291666666666664,0.0,0.0,0.0,0.0,0.0
2024-03-25 18:00:00,112762.0,0.0,0.0,0.0,112762.0,0.6741666666666667,1.1691666666666667,726.9833333333332,653.7083333333334,31.575,0.0,0.0,0.0,0.0,0.0
2024-03-25 19:00:00,9986.0,0.0,0.0,0.0,9986.0,0.44416666666666665,0.5083333333333333,690.3416666666667,592.8666666666667,24.65833333333333,0.0,0.0,0.0,0.0,0.0
2024-03-25 20:00:00,46.0,0.0,0.0,0.0,46.0,0.11,0.10083333333333333,34.233333333333334,70.77499999999999,4.741666666666666,0.0,0.0,0.0,0.0,0.0
2024-03-25 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 06:00:00,1146.0,0.0,0.0,0.0,1146.0,0.14333333333333334,0.15083333333333335,249.17499999999998,92.69166666666666,0.8166666666666668,0.0,0.0,0.0,0.0,0.0
2024-03-26 07:00:00,28855.0,0.0,0.0,0.0,28855.0,0.7833333333333333,1.1741666666666666,739.625,585.2166666666667,9.700000000000001,0.0,0.0,0.0,0.0,0.0
2024-03-26 08:00:00,156345.0,0.0,0.0,0.0,156345.0,2.405,5.636666666666667,789.1416666666668,732.9916666666667,14.066666666666668,0.0,0.0,0.0,0.0,0.0
2024-03-26 09:00:00,300240.0,0.0,0.0,0.0,300240.0,4.63,9.362499999999999,757.6833333333334,727.1916666666666,18.783333333333335,0.0,0.0,0.0,0.0,0.0
2024-03-26 10:00:00,385804.0,0.0,0.0,0.0,385804.0,4.9816666666666665,9.860833333333334,768.6083333333332,727.5666666666666,23.825,0.0,0.0,0.0,0.0,0.0
2024-03-26 11:00:00,561690.0,0.0,0.0,0.0,561690.0,7.769166666666667,15.455833333333333,741.1916666666666,709.375,27.816666666666666,0.0,0.0,0.0,0.0,0.0
2024-03-26 12:00:00,648224.0,0.0,0.0,0.0,648224.0,9.1325,18.289166666666667,718.8000000000001,686.4166666666666,31.616666666666664,0.0,0.0,0.0,0.0,0.0
2024-03-26 13:00:00,669738.0,0.0,0.0,0.0,669738.0,7.745833333333334,15.234166666666667,735.15,703.9499999999999,34.03333333333333,0.0,0.0,0.0,0.0,0.0
2024-03-26 14:00:00,583865.0,0.0,0.0,0.0,583865.0,6.325,12.516666666666666,749.0749999999999,707.625,34.90833333333333,0.0,0.0,0.0,0.0,0.0
2024-03-26 15:00:00,364723.0,0.0,0.0,0.0,364723.0,3.6166666666666667,7.191666666666666,779.2916666666666,730.6416666666668,32.85,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:00:00,297109.0,0.0,0.0,0.0,297109.0,2.6158333333333332,5.126666666666666,795.275,751.0666666666666,31.233333333333334,0.0,0.0,0.0,0.0,0.0
2024-03-26 17:00:00,137495.0,0.0,0.0,0.0,137495.0,1.6375,3.035,754.3833333333333,730.5666666666666,27.583333333333332,0.0,0.0,0.0,0.0,0.0
2024-03-26 18:00:00,107139.0,0.0,0.0,0.0,107139.0,1.1016666666666668,1.7225000000000001,674.1,730.2333333333332,27.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 19:00:00,14353.0,0.0,0.0,0.0,14353.0,0.4816666666666667,0.5566666666666666,687.6833333333334,617.8333333333334,24.366666666666664,0.0,0.0,0.0,0.0,0.0
2024-03-26 20:00:00,23.0,0.0,0.0,0.0,23.0,0.07333333333333333,0.06833333333333333,42.324999999999996,44.21666666666667,3.5499999999999994,0.0,0.0,0.0,0.0,0.0
2024-03-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27 06:00:00,250.0,0.0,0.0,0.0,250.0,0.14333333333333334,0.145,199.67499999999998,173.375,2.0500000000000003,0.0,0.0,0.0,0.0,0.0
2024-03-27 07:00:00,17061.0,0.0,0.0,0.0,17061.0,0.5475,0.8366666666666666,751.4166666666666,556.8583333333333,12.708333333333334,0.0,0.0,0.0,0.0,0.0
2024-03-27 08:00:00,116517.0,0.0,0.0,0.0,116517.0,2.0425,4.214166666666666,739.9083333333333,717.1999999999999,16.716666666666665,0.0,0.0,0.0,0.0,0.0
2024-03-27 09:00:00,294074.0,0.0,0.0,0.0,294074.0,4.746666666666667,9.387500000000001,748.6,719.1666666666666,22.241666666666664,0.0,0.0,0.0,0.0,0.0
2024-03-27 10:00:00,343086.0,0.0,0.0,0.0,343086.0,5.086666666666667,10.1425,740.5333333333333,703.9833333333332,27.266666666666666,0.0,0.0,0.0,0.0,0.0
2024-03-27 11:00:00,185117.0,0.0,0.0,0.0,185117.0,2.3275,4.468333333333333,759.525,723.9333333333334,28.175,0.0,0.0,0.0,0.0,0.0
2024-03-27 12:00:00,318379.0,0.0,0.0,0.0,318379.0,3.9608333333333334,7.793333333333333,749.0416666666666,714.9083333333333,28.483333333333334,0.0,0.0,0.0,0.0,0.0
2024-03-27 13:00:00,421105.0,0.0,0.0,0.0,421105.0,4.840833333333333,9.591666666666667,750.4833333333332,712.1750000000001,34.9,0.0,0.0,0.0,0.0,0.0
2024-03-27 14:00:00,696865.0,0.0,0.0,0.0,696865.0,7.7749999999999995,15.405833333333334,730.3333333333334,689.1166666666667,38.21666666666667,0.0,0.0,0.0,0.0,0.0
2024-03-27 15:00:00,544562.0,0.0,0.0,0.0,544562.0,5.2124999999999995,10.4825,720.8916666666668,674.1083333333333,41.775,0.0,0.0,0.0,0.0,0.0
2024-03-27 16:00:00,88172.0,0.0,0.0,0.0,88172.0,1.3141666666666667,2.4283333333333332,672.9916666666667,665.25,35.275,0.0,0.0,0.0,0.0,0.0
2024-03-27 17:00:00,26331.0,0.0,0.0,0.0,26331.0,0.5658333333333333,0.9066666666666667,719.9416666666666,682.6833333333334,27.891666666666666,0.0,0.0,0.0,0.0,0.0
2024-03-27 18:00:00,29562.0,0.0,0.0,0.0,29562.0,0.625,0.9216666666666667,703.6916666666666,698.8166666666666,22.525000000000002,0.0,0.0,0.0,0.0,0.0
